Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,ABEJORRAL,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,68.51,81.3,95.14,51.75,0,ND,77.37,427.5,200.69,270.15,285.11,242.42
ANTIOQUIA,ABEJORRAL,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,3650,ND,ND,3650
ANTIOQUIA,ABRIAQUI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,166.68,158.72,183.29,204.5,ND,1237,164.55,4416.75,721.22,248.55,313.62,778.44
ANTIOQUIA,ALEJANDRIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,51.8,73.28,134.24,89.31,ND,ND,75.83,1293.89,247.65,258.54,217.86,284.46
ANTIOQUIA,AMAGA,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,0
ANTIOQUIA,AMAGA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,84.07,97.95,124.04,118.14,66.25,233.88,95.45,16429.16,342.91,556.82,214.2,2123.45
ANTIOQUIA,AMAGA,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,89350,ND,ND,ND,89350
ANTIOQUIA,AMAGA,ENERCO S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,0
ANTIOQUIA,AMAGA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,69611.5,ND,ND,ND,69611.5
ANTIOQUIA,AMALFI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,67.16,94.39,93.16,63.66,206.44,28.93,83.8,1935.07,284.48,418.46,286.25,391.8
ANTIOQUIA,ANDES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,79.04,91.47,109.37,134.89,473.75,ND,91.66,968.29,332.24,685.54,282.51,419.08
ANTIOQUIA,ANDES,ENERCO S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,17331,ND,ND,17331
ANTIOQUIA,ANDES,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,1786,9104,ND,ND,5445
ANTIOQUIA,ANGELOPOLIS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,88.58,91.97,95.81,49.47,120,ND,90.88,5494.54,315.63,171.17,186.18,1369.3
ANTIOQUIA,ANGOSTURA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,80.65,123.86,148.29,106.59,ND,ND,102.14,729.44,184.31,239.25,266.34,286.37
ANTIOQUIA,ANORI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,57.14,90.6,92.24,125.48,ND,ND,76.77,1152.91,264.42,745.74,234.08,399.38
ANTIOQUIA,ANZA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,83.35,93.27,93.59,214.75,720,ND,88.99,1057.12,256.08,239.71,274.03,284.24
ANTIOQUIA,APARTADO,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,115863,ND,ND,115863
ANTIOQUIA,APARTADO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,123.46,154.39,180.43,248.84,1634,ND,147.34,6949.01,877.74,2260.27,348.36,1106.81
ANTIOQUIA,APARTADO,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,125931,ND,ND,125931
ANTIOQUIA,APARTADO,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,19606,15047.2,197.02,ND,616.25
ANTIOQUIA,APARTADO,NEU ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,APARTADO,QI ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,12801,ND,ND,12801
ANTIOQUIA,APARTADO,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,14774.5,10169.5,ND,ND,10827.36
ANTIOQUIA,ARBOLETES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,79.4,150.98,208.94,119.06,ND,ND,99.14,2481.43,476.39,788.53,165.98,406.58
ANTIOQUIA,ARBOLETES,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,43048,ND,ND,43048
ANTIOQUIA,ARBOLETES,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,15305,ND,ND,15305
ANTIOQUIA,ARGELIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,64.01,56.91,28.28,52.17,ND,ND,59.74,670.17,178.06,231.59,242.27,208.49
ANTIOQUIA,ARMENIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,47.7,44.12,72.59,84.03,ND,546,50.13,758.8,155.35,144.22,254.62,221.9
ANTIOQUIA,BARBOSA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,96.99,112.19,160.35,267.77,388.49,433.15,121.8,21490.37,668.47,5611.49,205.18,1789.98
ANTIOQUIA,BARBOSA,ISAGEN S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,2447645.5,3691700,ND,ND,2862330.33
ANTIOQUIA,BARBOSA,NEU ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BARBOSA,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,154222,ND,ND,ND,154222
ANTIOQUIA,BARBOSA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,9108,ND,ND,9108
ANTIOQUIA,BELLO,AES COLOMBIA & CIA S C A E S P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,119895,ND,ND,119895
ANTIOQUIA,BELLO,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,55490,ND,ND,55490
ANTIOQUIA,BELLO,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,2597.8,ND,ND,2597.8
ANTIOQUIA,BELLO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,101.12,122.67,129.73,135.92,317.03,701.66,120.9,11949.14,1013.14,4525.28,247.05,1649.65
ANTIOQUIA,BELLO,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,95159.5,ND,ND,95159.5
ANTIOQUIA,BELLO,ENERCO S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,393,ND,ND,393
ANTIOQUIA,BELLO,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,5841,ND,ND,ND,5841,23876,57186,ND,ND,40531
ANTIOQUIA,BELLO,ISAGEN S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,187152,ND,ND,187152
ANTIOQUIA,BELLO,NEU ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,BELLO,QI ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,13166,ND,ND,13166
ANTIOQUIA,BELLO,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,35301,6111.4,ND,ND,10976.33
ANTIOQUIA,BELLO,TERPEL ENERGIA S.A.S E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,12240,ND,ND,12240
ANTIOQUIA,BELLO,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,218,ND,218,20535.67,3808.73,ND,ND,4007.07
ANTIOQUIA,BELMIRA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,96.18,104.22,99.98,59.06,240.48,99.43,101.61,525.37,262.35,261.66,252.74,361.59
ANTIOQUIA,BETANIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,77.96,104.36,126.91,448.39,ND,4240,106.7,720.8,248.85,187.76,ND,332.74
ANTIOQUIA,BETANIA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,5389,ND,ND,5389
ANTIOQUIA,BETULIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,60.96,72.65,94.97,96.4,32,1.4,69.35,253.31,213.23,241.89,139.58,215
ANTIOQUIA,BETULIA,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,857.33,ND,ND,857.33
ANTIOQUIA,BRICENO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,33.73,55,60.6,19.85,222,ND,47.64,171.07,226.5,154.17,194.53,198.74
ANTIOQUIA,BURITICA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,106.31,204.87,154.91,74.25,15,ND,156.81,330255.36,512.89,291.21,162.29,38304.87
ANTIOQUIA,CACERES,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,102.88,149.55,488.95,337.57,1155.5,2118,114.4,2484.38,356.59,2182.89,229,590.05
ANTIOQUIA,CAICEDO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,56.78,78.8,79.86,171,ND,ND,69.41,645,222.94,164.02,153.37,211.35
ANTIOQUIA,CALDAS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,100.88,118.88,127.04,218.84,254.95,288.88,120.26,16078.92,489.77,2113.1,321.34,1809.73
ANTIOQUIA,CALDAS,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,15009,1536,ND,ND,8272.5
ANTIOQUIA,CALDAS,NEU ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CALDAS,PROFESIONALES EN ENERGÍA S.A E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CALDAS,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,31158,ND,ND,ND,31158
ANTIOQUIA,CALDAS,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,79966,6299.25,ND,ND,30854.83
ANTIOQUIA,CAMPAMENTO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,58.52,118.26,124.7,174.48,ND,ND,104.54,341.97,202.03,190.8,389.48,247.78
ANTIOQUIA,CANASGORDAS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,45.63,76.24,95.69,24.61,ND,ND,66.6,19268.04,283.13,162.82,210.87,1022.04
ANTIOQUIA,CANASGORDAS,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,2610,ND,ND,ND,2610
ANTIOQUIA,CARACOLI,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,75.57,81.98,72.19,13.43,208,ND,78.86,716.07,198.62,287.76,270.84,256.43
ANTIOQUIA,CARAMANTA,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CARAMANTA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,45.41,48.03,70.91,ND,ND,ND,53.69,1436.83,304.72,156.11,204.58,278.78
ANTIOQUIA,CAREPA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,94.92,136.55,148.99,208.06,275.42,70.6,122.92,8198.88,593.21,1326.38,307.3,1271.16
ANTIOQUIA,CAREPA,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,62753,ND,ND,62753
ANTIOQUIA,CAREPA,PROFESIONALES EN ENERGÍA S.A E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ANTIOQUIA,CAREPA,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,19901,ND,ND,19901
ANTIOQUIA,CAREPA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,32649,11263,ND,ND,19817.4
ANTIOQUIA,CAROLINA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,76.22,91.89,88.19,79.84,203.67,83.08,88.9,940.12,227.15,281.76,293.65,298.36
ANTIOQUIA,CAUCASIA,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,48182,ND,ND,48182
ANTIOQUIA,CAUCASIA,ECOPETROL ENERGÍA S.A.S. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,147131,ND,ND,ND,147131
ANTIOQUIA,CAUCASIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,131.83,190.42,242.52,266.17,413.81,ND,171.19,7625.12,664.27,2964.1,435.83,920.49
ANTIOQUIA,CAUCASIA,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,134492,121321,ND,ND,127906.5
ANTIOQUIA,CAUCASIA,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,258.67,1673,619.8,ND,ND,ND,616.44,2268,3316.64,ND,ND,3190.8
ANTIOQUIA,CAUCASIA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,5346,7182.6,ND,ND,6876.5
ANTIOQUIA,CHIGORODO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,106.77,143.74,167.52,211.85,436,342.53,124.36,6688.33,599.87,1095.78,358.42,885.71
ANTIOQUIA,CHIGORODO,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,11631,ND,ND,ND,11631
ANTIOQUIA,CHIGORODO,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,11133.33,ND,ND,11133.33
ANTIOQUIA,CISNEROS,ECOPETROL ENERGÍA S.A.S. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,0
ANTIOQUIA,CISNEROS,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,83.54,86.86,96.92,16.76,524.25,ND,87.93,644.9,571.98,446.25,136,497.95
ANTIOQUIA,CIUDAD BOLIVAR,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,78.21,77.31,97.13,104.46,81.55,ND,84.76,425.27,351.39,592.99,213.46,359.46
ANTIOQUIA,CIUDAD BOLIVAR,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,2206,ND,ND,2206
ANTIOQUIA,COCORNA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,45.35,56.17,80.4,77.32,ND,ND,57.13,658.4,296.98,163.93,284.11,296.26
ANTIOQUIA,COCORNA,ISAGEN S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,949859,ND,ND,ND,949859
ANTIOQUIA,COCORNA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,10,ND,ND,ND,ND,ND,10,ND,ND,ND,ND,ND
ANTIOQUIA,CONCEPCION,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,61.58,62.85,75.52,133.59,11,ND,65.68,687.22,210.49,160.45,273.97,227.95
