Departamento,Municipio,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
CUNDINAMARCA,PUERTO SALGAR,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,6930,ND,ND,6930
CUNDINAMARCA,PULI,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,106.73,75.21,173.14,ND,ND,ND,82.07,417,210.73,1346.33,662.89,741.36
CUNDINAMARCA,QUEBRADANEGRA,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,30668,ND,ND,30668
CUNDINAMARCA,QUEBRADANEGRA,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,102.81,149.94,363.7,761.42,167,929.46,176.67,218.64,617.57,1501.66,670.57,783.45
CUNDINAMARCA,QUETAME,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,90915,ND,ND,ND,90915
CUNDINAMARCA,QUETAME,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,121.86,145.76,240.59,ND,ND,ND,147.8,4876.68,314.93,204.75,2779.2,877.51
CUNDINAMARCA,QUIPILE,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,83.33,63.55,113.41,ND,ND,ND,67.52,330.06,242.18,133.7,709.38,299.17
CUNDINAMARCA,RICAURTE,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,180890,ND,ND,ND,180890
CUNDINAMARCA,RICAURTE,CELSIA TOLIMA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,122.65,115.74,138.33,ND,ND,44,117.81,3520,229.09,99.67,4161.89,1824.83
CUNDINAMARCA,RICAURTE,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,147.24,184.41,124.49,113.79,268.21,535.53,148.77,3081.35,1402.49,1018.77,698.74,1386.03
CUNDINAMARCA,RICAURTE,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,RICAURTE,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,462305.33,63257,ND,ND,362543.25
CUNDINAMARCA,RICAURTE,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,1324,1317,1321.67,ND,4496.08,ND,ND,4496.08
CUNDINAMARCA,RICAURTE,PROFESIONALES EN ENERGÍA S.A E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,2437,17915,ND,ND,12755.67
CUNDINAMARCA,RICAURTE,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,45847,11985,ND,ND,20450.5
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,87.29,103.76,113.49,166.14,127.17,ND,103.33,477.93,424.09,407.59,434.95,431.18
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,11333,ND,ND,ND,11333
CUNDINAMARCA,SAN BERNARDO,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,53.85,67.82,79.33,50.74,0,40.4,66.73,204.5,163.94,308.78,544.82,240.04
CUNDINAMARCA,SAN CAYETANO,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,47.7,54.45,55.5,ND,ND,ND,54.24,254,122.98,135.27,543.14,243.14
CUNDINAMARCA,SAN FRANCISCO,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,128.52,140.45,198.72,153.69,847,52,155.85,916.87,648.23,560.5,429.48,670.25
CUNDINAMARCA,SAN FRANCISCO,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SAN JUAN DE RIOSECO,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,11.07,34.97,0,ND,ND,ND,29.64,1.72,16.12,19.41,1087.69,136.57
CUNDINAMARCA,SASAIMA,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,89.47,108.45,121.77,135.92,263.11,ND,110.26,1065.96,379.19,364.94,539.78,527.85
CUNDINAMARCA,SASAIMA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SASAIMA,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,191353,ND,ND,ND,191353
CUNDINAMARCA,SASAIMA,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,1517,ND,ND,ND,1517
CUNDINAMARCA,SASAIMA,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,4453,ND,ND,4453
CUNDINAMARCA,SESQUILE,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,101.6,123.6,147.09,158.75,ND,ND,124.86,2698.71,303.84,828.71,395.5,764.98
CUNDINAMARCA,SESQUILE,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,1237278,ND,ND,ND,1237278
CUNDINAMARCA,SESQUILE,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,448718.75,ND,ND,ND,448718.75
CUNDINAMARCA,SESQUILE,ENERCO S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,33740,ND,ND,ND,33740
CUNDINAMARCA,SESQUILE,PROFESIONALES EN ENERGÍA S.A E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,14553,ND,ND,ND,14553
CUNDINAMARCA,SESQUILE,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,4274,ND,ND,ND,ND,4274,ND,ND,ND,ND,ND
CUNDINAMARCA,SESQUILE,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,3409.5,ND,ND,3409.5
CUNDINAMARCA,SIBATE,AES COLOMBIA & CIA S C A E S P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,1185770.5,ND,ND,ND,1185770.5
CUNDINAMARCA,SIBATE,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,60794,ND,ND,ND,60794
CUNDINAMARCA,SIBATE,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,117.05,118.1,140.92,168.5,ND,ND,120.88,1987.7,389.95,1168.49,506.59,684.2
CUNDINAMARCA,SIBATE,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,195610.33,ND,ND,ND,195610.33
CUNDINAMARCA,SIBATE,ISAGEN S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SIBATE,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,4370,ND,ND,4370
CUNDINAMARCA,SIBATE,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,8291,ND,ND,8291
CUNDINAMARCA,SILVANIA,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,103.18,100.58,108.68,139.93,176.91,232.33,104.14,1558.31,364.59,769.03,537.2,544.35
CUNDINAMARCA,SILVANIA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,5535,ND,ND,5535
CUNDINAMARCA,SIMIJACA,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,79.51,86.52,129.65,158.62,ND,ND,90.84,1907.83,241.52,378.96,892.43,844.58
CUNDINAMARCA,SIMIJACA,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,121135,ND,ND,ND,121135
CUNDINAMARCA,SIMIJACA,QI ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SIMIJACA,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,3910,ND,ND,ND,ND,3910,ND,ND,ND,ND,ND
CUNDINAMARCA,SIMIJACA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,2126,ND,ND,2126
CUNDINAMARCA,SOACHA,AES COLOMBIA & CIA S C A E S P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,3029278,ND,ND,ND,3029278
CUNDINAMARCA,SOACHA,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,29826,ND,ND,128.76,150.08
CUNDINAMARCA,SOACHA,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,117.34,129.18,95.08,565,ND,24,108.8,1813.95,628.35,1394.92,ND,838.15
CUNDINAMARCA,SOACHA,DICELER S.A E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,6148,ND,ND,6148
CUNDINAMARCA,SOACHA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SOACHA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,874085,55435,ND,ND,601201.67
CUNDINAMARCA,SOACHA,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,479253.35,76589,ND,ND,456883.11
CUNDINAMARCA,SOACHA,ENERTOTAL S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,20382.79,1455,ND,ND,19120.93
CUNDINAMARCA,SOACHA,ISAGEN S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SOACHA,PROFESIONALES EN ENERGÍA S.A E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,25860.25,ND,ND,25860.25
CUNDINAMARCA,SOACHA,QI ENERGY SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SOACHA,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,12954,7634.83,ND,ND,8394.71
CUNDINAMARCA,SOACHA,TERPEL ENERGIA S.A.S E.S.P,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,24454,ND,ND,24454
CUNDINAMARCA,SOACHA,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,6190.6,10297.12,ND,ND,9319.38
CUNDINAMARCA,SOPO,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,166.99,200.43,139.97,255.24,344.94,541.54,181.16,5241.13,819.62,1900.13,764.12,1544.48
CUNDINAMARCA,SOPO,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,783525.33,ND,ND,ND,783525.33
CUNDINAMARCA,SOPO,ENEL COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,51915.5,ND,ND,ND,51915.5
CUNDINAMARCA,SOPO,ISAGEN S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CUNDINAMARCA,SOPO,SPECTRUM RENOVAVEIS SAS ESP,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,36786,4498,ND,ND,20642
CUNDINAMARCA,SOPO,VATIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,6634.33,ND,ND,6634.33
CUNDINAMARCA,SUBACHOQUE,CELSIA COLOMBIA S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,ND,33136,ND,ND,33136
CUNDINAMARCA,SUBACHOQUE,CODENSA S.A. ESP,consumo promedio Empresa Departamento y Municipio,165.35,163.92,128.27,754.4,299.33,308.67,161.08,3629.45,364.25,1484.24,837.23,1155.46
CUNDINAMARCA,SUBACHOQUE,ENERCO S.A. E.S.P.,consumo promedio Empresa Departamento y Municipio,ND,ND,ND,ND,ND,ND,ND,65672,ND,ND,ND,65672
